nationality,host_2,host,run_factor,wkt_factor,all_away_runs_factor,all_away_wkts_factor
New Zealand,New Zealand,India,0.9987370290670458,1.0239825486672014,1.0124877257747285,1.0031865927416075
New Zealand,New Zealand,Ireland,1.0141963956219708,1.0189034985429397,1.0124877257747285,1.0031865927416075
New Zealand,New Zealand,Netherlands,1.0132556391633336,1.011887101728443,1.0124877257747285,1.0031865927416075
New Zealand,New Zealand,New Zealand,1.0,1.0,1.0124877257747285,1.0031865927416075
New Zealand,New Zealand,Pakistan,1.007175690574856,1.0356885742335737,1.0124877257747285,1.0031865927416075
New Zealand,New Zealand,Scotland,1.0139459801883461,1.0182817705372489,1.0124877257747285,1.0031865927416075
New Zealand,New Zealand,South Africa,1.0170515157279625,1.0119842893328928,1.0124877257747285,1.0031865927416075
New Zealand,New Zealand,Sri Lanka,0.9975180321332641,1.0167252473145305,1.0124877257747285,1.0031865927416075
New Zealand,New Zealand,United Arab Emirates,1.009905768281442,1.007987516991881,1.0124877257747285,1.0031865927416075
New Zealand,New Zealand,United States of America,1.0195562760369343,0.9942149695101405,1.0124877257747285,1.0031865927416075
New Zealand,New Zealand,West Indies,1.0155808871454912,0.9978079179172707,1.0124877257747285,1.0031865927416075
New Zealand,New Zealand,Zimbabwe,1.0258704911506356,1.0227896407736332,1.0124877257747285,1.0031865927416075
Pakistan,Pakistan,Australia,0.9960144775909908,0.9634828654079575,1.0124877257747285,1.0031865927416075
Pakistan,Pakistan,Bangladesh,0.9901072302855738,1.0275715017878804,1.0124877257747285,1.0031865927416075
Pakistan,Pakistan,China,1.0062347007986752,0.9867664501731515,1.0124877257747285,1.0031865927416075
Pakistan,Pakistan,England,1.0086213215139765,0.9389944881632513,1.0124877257747285,1.0031865927416075
Pakistan,Pakistan,Ireland,1.0128863720423482,0.9567455323315388,1.0124877257747285,1.0031865927416075
Pakistan,Pakistan,New Zealand,1.016690344024723,0.9469882357339762,1.0124877257747285,1.0031865927416075
Pakistan,Pakistan,Pakistan,1.0,1.0,1.0124877257747285,1.0031865927416075
Pakistan,Pakistan,Scotland,1.012734240777576,0.9570069234192405,1.0124877257747285,1.0031865927416075
Pakistan,Pakistan,South Africa,1.0310988321996295,0.9909127051101856,1.0124877257747285,1.0031865927416075
Pakistan,Pakistan,Sri Lanka,0.9851565796450585,1.031772476082768,1.0124877257747285,1.0031865927416075
Pakistan,Pakistan,United Arab Emirates,0.9985082276458708,1.0249568974099506,1.0124877257747285,1.0031865927416075
Pakistan,Pakistan,United States of America,1.0071779311681008,0.979926548188219,1.0124877257747285,1.0031865927416075
Pakistan,Pakistan,West Indies,0.9970366831857002,0.9996522246020717,1.0124877257747285,1.0031865927416075
Pakistan,Pakistan,Zimbabwe,1.042205815082162,0.981899707968243,1.0124877257747285,1.0031865927416075
Scotland,Scotland,Australia,1.0034527551943966,1.0205231127403676,1.0124877257747285,1.0031865927416075
Scotland,Scotland,England,1.0072195736077636,1.021853087336533,1.0124877257747285,1.0031865927416075
Scotland,Scotland,Ireland,1.00738206629053,1.0242392094522226,1.0124877257747285,1.0031865927416075
Scotland,Scotland,Netherlands,1.0074398182033009,1.0351734658980105,1.0124877257747285,1.0031865927416075
Scotland,Scotland,Oman,1.0091073905129497,1.023714129664158,1.0124877257747285,1.0031865927416075
Scotland,Scotland,Scotland,1.0,1.0,1.0124877257747285,1.0031865927416075
Scotland,Scotland,United Arab Emirates,1.0117583272038944,1.041669545415897,1.0124877257747285,1.0031865927416075
Scotland,Scotland,West Indies,1.0128455057514165,1.0251377577397296,1.0124877257747285,1.0031865927416075
South Africa,South Africa,Australia,1.0054730793764346,0.9933660215458567,1.0124877257747285,1.0031865927416075
South Africa,South Africa,Bangladesh,0.9973546785648896,1.0012652010988465,1.0124877257747285,1.0031865927416075
South Africa,South Africa,England,1.009398511724424,0.9515251536633086,1.0124877257747285,1.0031865927416075
South Africa,South Africa,Guyana,1.0084401764885276,0.9923909405550637,1.0124877257747285,1.0031865927416075
South Africa,South Africa,India,1.0092677195109268,0.9983811048680303,1.0124877257747285,1.0031865927416075
South Africa,South Africa,Ireland,1.0056308554716908,0.9796247386944555,1.0124877257747285,1.0031865927416075
South Africa,South Africa,New Zealand,1.0141628386826076,0.9905210444448038,1.0124877257747285,1.0031865927416075
South Africa,South Africa,Pakistan,1.0010716332153111,1.007355563860628,1.0124877257747285,1.0031865927416075
South Africa,South Africa,South Africa,1.0,1.0,1.0124877257747285,1.0031865927416075
South Africa,South Africa,Sri Lanka,0.9981688568811238,1.009911805473905,1.0124877257747285,1.0031865927416075
South Africa,South Africa,United Arab Emirates,1.0006622860232057,0.9956781417687995,1.0124877257747285,1.0031865927416075
South Africa,South Africa,United States of America,1.016917928340288,0.9764655295696585,1.0124877257747285,1.0031865927416075
South Africa,South Africa,West Indies,1.0057907410678748,1.0205604770954748,1.0124877257747285,1.0031865927416075
South Africa,South Africa,Zimbabwe,1.017077745874173,0.9886110558337015,1.0124877257747285,1.0031865927416075
Sri Lanka,Sri Lanka,Australia,0.9986836168698513,0.9897500984844733,1.0124877257747285,1.0031865927416075
Sri Lanka,Sri Lanka,Bangladesh,0.9957844515541898,1.0121636191737566,1.0124877257747285,1.0031865927416075
Sri Lanka,Sri Lanka,China,1.0067113767101388,1.0035345087987508,1.0124877257747285,1.0031865927416075
Sri Lanka,Sri Lanka,England,1.007161353360582,0.9585536217065732,1.0124877257747285,1.0031865927416075
Sri Lanka,Sri Lanka,India,0.9949998841484925,1.0092249266709767,1.0124877257747285,1.0031865927416075
Sri Lanka,Sri Lanka,New Zealand,1.0183692364645094,0.9711728056017905,1.0124877257747285,1.0031865927416075
Sri Lanka,Sri Lanka,Pakistan,0.9971019640876934,1.0157491276554669,1.0124877257747285,1.0031865927416075
Sri Lanka,Sri Lanka,South Africa,1.0257939434170886,1.006989713815411,1.0124877257747285,1.0031865927416075
Sri Lanka,Sri Lanka,Sri Lanka,1.0,1.0,1.0124877257747285,1.0031865927416075
Sri Lanka,Sri Lanka,United Arab Emirates,0.9958673940404984,1.0275308311281859,1.0124877257747285,1.0031865927416075
Sri Lanka,Sri Lanka,United States of America,1.0107670817800862,0.9953174138983839,1.0124877257747285,1.0031865927416075
Sri Lanka,Sri Lanka,West Indies,1.0028156263237964,1.0330314104813767,1.0124877257747285,1.0031865927416075
Sri Lanka,Sri Lanka,Zimbabwe,1.0351104530139845,0.9999399891003763,1.0124877257747285,1.0031865927416075
United Arab Emirates,United Arab Emirates,Australia,0.9975232412940681,0.9919141310511443,1.0124877257747285,1.0031865927416075
United Arab Emirates,United Arab Emirates,United Arab Emirates,1.0,1.0,1.0124877257747285,1.0031865927416075
United States of America,United States of America,Namibia,1.0141318279001421,0.9948204362451812,1.0124877257747285,1.0031865927416075
United States of America,United States of America,Netherlands,1.0155086593625704,0.9950582275793622,1.0124877257747285,1.0031865927416075
United States of America,United States of America,United States of America,1.0,1.0,1.0124877257747285,1.0031865927416075
United States of America,United States of America,West Indies,1.0147746355875462,1.004183416754951,1.0124877257747285,1.0031865927416075
West Indies,West Indies,Australia,1.0204709725467889,1.0017632847875857,1.0124877257747285,1.0031865927416075
West Indies,West Indies,Bangladesh,1.0446204371282173,0.9860952280018392,1.0124877257747285,1.0031865927416075
West Indies,West Indies,England,1.041973242443368,0.9915260059477753,1.0124877257747285,1.0031865927416075
West Indies,West Indies,Guyana,1.0278411277190698,0.9963126247715506,1.0124877257747285,1.0031865927416075
West Indies,West Indies,India,1.044679373426304,1.006009906988192,1.0124877257747285,1.0031865927416075
West Indies,West Indies,Ireland,1.0354731720630992,0.9986360860940576,1.0124877257747285,1.0031865927416075
West Indies,West Indies,New Zealand,1.0308919090183786,0.9822211960341696,1.0124877257747285,1.0031865927416075
