ord,totalInningWickets,inningBallsRemaining,predictedBallsFacedToCome,R19,inningNumber,fxbRunsAdjustRatio,fxbWktsAdjustRatio
1.0,8.0,1.0,1.0,0,1,1.0,1.0
1.0,8.0,1.0,1.0,0,2,1.0,1.0
1.0,8.0,1.0,1.0,1,1,1.0,1.0
1.0,8.0,1.0,1.0,1,2,1.0,1.0
1.0,8.0,1.0,1.0,2,1,1.0,1.0
1.0,8.0,1.0,1.0,2,2,1.0,1.0
1.0,8.0,1.0,1.0,3,1,1.0,1.0
1.0,8.0,1.0,1.0,3,2,1.0,1.0
1.0,8.0,1.0,1.0,4,1,1.0,1.0
1.0,8.0,1.0,1.0,4,2,1.0,1.0
1.0,8.0,1.0,1.0,5,1,1.0,1.0
1.0,8.0,1.0,1.0,5,2,1.0,1.0
1.0,8.0,1.0,1.0,6,1,1.0,1.0
1.0,8.0,1.0,1.0,6,2,1.0,1.0
1.0,8.0,1.0,1.0,7,1,1.0,1.0
1.0,8.0,1.0,1.0,7,2,1.0,1.0
1.0,8.0,1.0,1.0,8,1,1.0,1.0
1.0,8.0,1.0,1.0,8,2,1.0,1.0
1.0,8.0,1.0,1.0,9,1,1.0,1.0
1.0,8.0,1.0,1.0,9,2,1.0,1.0
1.0,8.0,1.0,1.0,10,1,1.0,1.0
1.0,8.0,1.0,1.0,10,2,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,0,1,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,0,2,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,1,1,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,1,2,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,2,1,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,2,2,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,3,1,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,3,2,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,4,1,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,4,2,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,5,1,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,5,2,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,6,1,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,6,2,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,7,1,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,7,2,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,8,1,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,8,2,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,9,1,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,9,2,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,10,1,1.0,1.0
2.0,0.0,1.0,1.1071635670132407,10,2,1.0,1.0
2.0,1.0,1.0,1.887748373307495,0,1,1.0,1.0
2.0,1.0,1.0,1.887748373307495,0,2,1.0,1.0
2.0,1.0,1.0,1.887748373307495,1,1,1.0,1.0
2.0,1.0,1.0,1.887748373307495,1,2,1.0,1.0
2.0,1.0,1.0,1.887748373307495,2,1,1.0,1.0
2.0,1.0,1.0,1.887748373307495,2,2,1.0,1.0
2.0,1.0,1.0,1.887748373307495,3,1,1.0,1.0
2.0,1.0,1.0,1.887748373307495,3,2,1.0,1.0
2.0,1.0,1.0,1.887748373307495,4,1,1.0,1.0
2.0,1.0,1.0,1.887748373307495,4,2,1.0,1.0
2.0,1.0,1.0,1.887748373307495,5,1,1.0,1.0
2.0,1.0,1.0,1.887748373307495,5,2,1.0,1.0
2.0,1.0,1.0,1.887748373307495,6,1,1.0,1.0
2.0,1.0,1.0,1.887748373307495,6,2,1.0,1.0
2.0,1.0,1.0,1.887748373307495,7,1,1.0,1.0
2.0,1.0,1.0,1.887748373307495,7,2,1.0,1.0
2.0,1.0,1.0,1.887748373307495,8,1,1.0,1.0
2.0,1.0,1.0,1.887748373307495,8,2,1.0,1.0
2.0,1.0,1.0,1.887748373307495,9,1,1.0,1.0
2.0,1.0,1.0,1.887748373307495,9,2,1.0,1.0
