balls_bowled_career,runs_weight_curve,wkts_weight_curve
3334,0.915608538,0.908661962
3335,0.915671094,0.908727502
3336,0.915733604,0.908792996
3337,0.915796068,0.908858442
3338,0.915858485,0.908923841
3339,0.915920856,0.908989193
3340,0.915983181,0.909054498
3341,0.916045459,0.909119757
3342,0.916107692,0.909184968
3343,0.916169878,0.909250133
3344,0.916232018,0.909315251
3345,0.916294113,0.909380322
3346,0.916356161,0.909445347
3347,0.916418163,0.909510325
3348,0.916480119,0.909575256
3349,0.916542029,0.909640141
3350,0.916603894,0.909704979
3351,0.916665712,0.909769771
3352,0.916727485,0.909834516
3353,0.916789212,0.909899215
3354,0.916850893,0.909963867
3355,0.916912528,0.910028473
3356,0.916974118,0.910093033
3357,0.917035662,0.910157546
3358,0.91709716,0.910222013
3359,0.917158613,0.910286433
3360,0.91722002,0.910350808
3361,0.917281382,0.910415136
3362,0.917342699,0.910479418
3363,0.917403969,0.910543654
3364,0.917465195,0.910607844
3365,0.917526375,0.910671988
3366,0.91758751,0.910736086
3367,0.917648599,0.910800137
3368,0.917709643,0.910864143
3369,0.917770642,0.910928103
3370,0.917831596,0.910992017
3371,0.917892504,0.911055885
3372,0.917953367,0.911119708
3373,0.918014185,0.911183484
3374,0.918074959,0.911247215
3375,0.918135687,0.9113109
3376,0.91819637,0.911374539
3377,0.918257008,0.911438133
3378,0.918317601,0.911501681
3379,0.918378149,0.911565183
3380,0.918438652,0.91162864
3381,0.918499111,0.911692052
3382,0.918559524,0.911755417
3383,0.918619893,0.911818738
3384,0.918680217,0.911882013
3385,0.918740497,0.911945242
3386,0.918800731,0.912008426
3387,0.918860921,0.912071565
3388,0.918921067,0.912134659
3389,0.918981168,0.912197707
3390,0.919041224,0.91226071
3391,0.919101236,0.912323668
3392,0.919161203,0.91238658
3393,0.919221126,0.912449448
3394,0.919281004,0.91251227
3395,0.919340838,0.912575047
3396,0.919400628,0.91263778
3397,0.919460374,0.912700467
3398,0.919520075,0.912763109
3399,0.919579731,0.912825706
3400,0.919639344,0.912888259
3401,0.919698912,0.912950766
3402,0.919758437,0.913013229
3403,0.919817917,0.913075647
3404,0.919877353,0.91313802
3405,0.919936745,0.913200348
3406,0.919996093,0.913262632
3407,0.920055397,0.91332487
3408,0.920114657,0.913387065
3409,0.920173873,0.913449214
3410,0.920233045,0.913511319
3411,0.920292174,0.91357338
3412,0.920351258,0.913635395
3413,0.920410299,0.913697367
3414,0.920469296,0.913759294
3415,0.920528249,0.913821176
3416,0.920587158,0.913883014
3417,0.920646024,0.913944808
