balls_faced_host,run_factor_smooth,wkt_factor_smooth
557,1.010501305,0.9695346
558,1.010524283,0.969497803
559,1.010547232,0.969461162
560,1.010570153,0.969424677
561,1.010593046,0.969388349
562,1.01061591,0.969352178
563,1.010638746,0.969316163
564,1.010661554,0.969280304
565,1.010684333,0.969244602
566,1.010707084,0.969209056
567,1.010729807,0.969173666
568,1.010752501,0.969138433
569,1.010775168,0.969103356
570,1.010797806,0.969068436
571,1.010820415,0.969033672
572,1.010842997,0.968999064
573,1.01086555,0.968964613
574,1.010888074,0.968930318
575,1.010750516,0.963838048
576,1.010750516,0.963838048
577,1.010750516,0.963838048
578,1.010750516,0.963838048
579,1.010750516,0.963838048
580,1.010750516,0.963838048
581,1.010750516,0.963838048
582,1.010750516,0.963838048
583,1.010750516,0.963838048
584,1.010750516,0.963838048
585,1.010750516,0.963838048
586,1.010750516,0.963838048
587,1.010750516,0.963838048
588,1.010750516,0.963838048
589,1.010750516,0.963838048
590,1.010750516,0.963838048
591,1.010750516,0.963838048
592,1.010750516,0.963838048
593,1.010750516,0.963838048
594,1.010750516,0.963838048
595,1.010750516,0.963838048
596,1.010750516,0.963838048
597,1.010750516,0.963838048
598,1.010750516,0.963838048
599,1.010750516,0.963838048
600,1.010750516,0.963838048
601,1.010750516,0.963838048
602,1.010750516,0.963838048
603,1.010750516,0.963838048
604,1.010750516,0.963838048
605,1.010750516,0.963838048
606,1.010750516,0.963838048
607,1.010750516,0.963838048
608,1.010750516,0.963838048
609,1.010750516,0.963838048
610,1.010750516,0.963838048
611,1.010750516,0.963838048
612,1.010750516,0.963838048
613,1.010750516,0.963838048
614,1.010750516,0.963838048
615,1.010750516,0.963838048
616,1.010750516,0.963838048
617,1.010750516,0.963838048
618,1.010750516,0.963838048
619,1.010750516,0.963838048
620,1.010750516,0.963838048
621,1.010750516,0.963838048
622,1.010750516,0.963838048
623,1.010750516,0.963838048
624,1.010750516,0.963838048
625,1.010750516,0.963838048
626,1.010750516,0.963838048
627,1.010750516,0.963838048
628,1.010750516,0.963838048
629,1.010750516,0.963838048
630,1.010750516,0.963838048
631,1.010750516,0.963838048
632,1.010750516,0.963838048
633,1.010750516,0.963838048
634,1.010750516,0.963838048
635,1.010750516,0.963838048
636,1.010750516,0.963838048
637,1.010750516,0.963838048
638,1.010750516,0.963838048
639,1.010750516,0.963838048
640,1.010750516,0.963838048
641,1.010750516,0.963838048
642,1.010750516,0.963838048
643,1.010750516,0.963838048
644,1.010750516,0.963838048
645,1.010750516,0.963838048
646,1.010750516,0.963838048
647,1.010750516,0.963838048
648,1.010750516,0.963838048
649,1.010750516,0.963838048
650,1.010750516,0.963838048
651,1.010750516,0.963838048
652,1.010750516,0.963838048
653,1.010750516,0.963838048
654,1.010750516,0.963838048
655,1.010750516,0.963838048
656,1.010750516,0.963838048
657,1.010750516,0.963838048
658,1.010750516,0.963838048
659,1.010750516,0.963838048
660,1.010750516,0.963838048
661,1.010750516,0.963838048
662,1.010750516,0.963838048
663,1.010750516,0.963838048
664,1.010750516,0.963838048
665,1.010750516,0.963838048
666,1.010750516,0.963838048
667,1.010750516,0.963838048
668,1.010750516,0.963838048
669,1.010750516,0.963838048
670,1.010750516,0.963838048
671,1.010750516,0.963838048
672,1.010750516,0.963838048
673,1.010750516,0.963838048
674,1.010750516,0.963838048
675,1.010750516,0.963838048
676,1.010750516,0.963838048
677,1.010750516,0.963838048
678,1.010750516,0.963838048
679,1.010750516,0.963838048
680,1.010750516,0.963838048
681,1.010750516,0.963838048
682,1.010750516,0.963838048
683,1.010750516,0.963838048
684,1.010750516,0.963838048
685,1.010750516,0.963838048
686,1.010750516,0.963838048
687,1.010750516,0.963838048
688,1.010750516,0.963838048
689,1.010750516,0.963838048
