nationality,host,host_2,balls_faced_career_2,realexprbat_2,realexpwbat_2,run_factor,wkt_factor,all_away_runs_factor,all_away_wkts_factor,run_factor_2,wkt_factor_2,all_away_runs_factor_2,all_away_wkts_factor_2,run_factor_smooth,wkt_factor_smooth,run_factor_adj
Ireland,Bangladesh,United Arab Emirates,2055,32.59308554,1.140256316,0.985949578,1.067711248,0.991671567,1.036671441,0.993414932,1.03372639,0.991671567,1.036671441,1.010750516,0.963838048,0.996855035
Ireland,Bangladesh,West Indies,2079,71.28124436,2.378672543,0.985949578,1.067711248,0.991671567,1.036671441,0.984781177,1.073124537,0.991671567,1.036671441,1.010750516,0.963838048,0.988191382
Ireland,Bangladesh,West Indies,2126,9.509029139,0.294770772,0.985949578,1.067711248,0.991671567,1.036671441,0.984781177,1.073124537,0.991671567,1.036671441,1.010750516,0.963838048,0.988191382
Ireland,Bangladesh,India,2133,13.57863157,0.363392612,0.985949578,1.067711248,0.991671567,1.036671441,0.991372018,1.078873575,0.991671567,1.036671441,1.010750516,0.963838048,0.994805047
Ireland,Bangladesh,India,2143,3.689973638,0.098320699,0.985949578,1.067711248,0.991671567,1.036671441,0.991372018,1.078873575,0.991671567,1.036671441,1.010750516,0.963838048,0.994805047
Ireland,Bangladesh,England,2147,65.43512352,1.478307959,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,2195,16.24442655,0.519446911,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,2207,11.24260503,0.372457945,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,2216,15.59938332,0.560956824,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,2227,29.28869289,0.966656814,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,2247,1.770542765,0.058063155,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,2249,3.853769824,0.120561933,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,2252,26.42535471,0.806238139,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,2272,32.67897402,1.125487205,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,2295,3.765749641,0.138747809,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,Sri Lanka,2299,12.51960363,0.342717128,0.985949578,1.067711248,0.991671567,1.036671441,0.9975,1.028198234,0.991671567,1.036671441,1.010750516,0.963838048,1.000954249
