ballsremaining,wickets,wkt_value_sum_smooth
63,8,31.987544280470924
62,8,31.110625153589435
61,8,30.26583478804909
60,8,29.451758237107768
59,8,28.667005993616264
58,8,27.910214451075205
57,8,27.180046364692352
56,8,26.475191312439424
55,8,25.794366156109614
54,8,25.136315502374543
53,8,24.499812163841277
52,8,23.88365762010957
51,8,23.286682478829185
50,8,22.70774693675661
49,8,22.145741240812537
48,8,21.599586149138798
47,8,21.06823339215564
46,8,20.550666133618705
45,8,20.04589943167633
44,8,19.552980699926486
43,8,19.070990168474108
42,8,18.599041344988
41,8,18.13628147575824
40,8,17.681892006753046
39,8,17.235089044676087
38,8,16.795123818023498
37,8,16.36128313814118
36,8,15.932889860281652
35,8,15.509303344661452
34,8,15.089919917518127
33,8,14.674173332167422
32,8,14.261535230060346
31,8,13.851515601840369
30,8,13.443663248400508
29,8,13.0375662419405
28,8,12.632852387023886
27,8,12.229189681635198
26,8,11.826286778237
25,8,11.42389344482713
24,8,11.021801025995742
23,8,10.619842903982502
22,8,10.217894959733666
21,8,9.815876033959212
20,8,9.41374838819003
19,8,9.011518165834993
18,8,8.60923585323813
17,8,8.206996740735711
16,8,7.804941383713399
15,8,7.40325606366342
14,8,7.0021732492416255
13,8,6.601972057324653
12,8,6.202978714067093
11,8,5.8055670159585535
10,8,5.410158790880844
9,8,5.017224359165089
8,8,4.627282994648819
7,8,4.240903385733173
6,8,3.858704096439986
5,8,3.481354027468944
4,8,3.1095728772546813
3,8,2.7441316030238987
2,8,2.385852881852596
1,8,2.0356115717230843
63,9,26.735663500659328
62,9,25.681182321911336
61,9,24.67234829864188
60,9,23.707398462534364
59,9,22.784597963234248
58,9,21.90224052940637
57,9,21.058648929791996
56,9,20.252175434266
55,9,19.481202274893874
54,9,18.744142106989045
53,9,18.039438470169948
52,9,17.365566249417
51,9,16.72103213612992
50,9,16.104375089184856
49,9,15.514166795991317
48,9,14.94901213354956
47,9,14.407549629507542
46,9,13.888451923218156
45,9,13.390426226796222
44,9,12.912214786175817
43,9,12.452595342167244
42,9,12.010381591514196
41,9,11.584423647950976
40,9,11.173608503259564
39,9,10.776860488326626
38,9,10.393141734200931
37,9,10.02145263315022
36,9,9.66083229971839
35,9,9.31035903178276
34,9,8.969150771611112
33,9,8.636365566918705
32,9,8.311202031925596
31,9,7.992899808413761
30,9,7.680740026784012
29,9,7.37404576711339
28,9,7.072182520212145
27,9,6.774558648680852
26,9,6.48062584796768
25,9,6.189879607425365
24,9,5.901859671368431
23,9,5.616150500130345
22,9,5.332381731120516
21,9,5.050228639881624
20,9,4.769412601146527
19,9,4.48970154989555
18,9,4.210910442413606
17,9,3.93290171734725
16,9,3.655585756761873
15,9,3.3789213471987907
14,9,3.102916140732382
13,9,2.827627116027273
12,9,2.553161039395391
11,9,2.279674925853193
10,9,2.007376500178651
9,9,1.7365246579685305
8,9,1.467429926695381
7,9,1.2004549267648486
6,9,0.9360148325726172
5,9,0.6745778335616635
4,9,0.4166655952793618
3,9,0.1628537204345406
2,9,0.0
1,9,0.0
