inningBallsRemainingOriginal,inningBallsRemaining,totalInningWickets,mean_hundred,count_hundred,mean_t20,count_t20,ratio_hundred_vs_t20,ratio_pred_constrained,mean_hundred_adj
23.0,26.0,7,24.008015166668738,9,27.41881273550476,59,0.8756037468967662,0.8782736273956034,27.335461771590616
24.0,27.0,1,37.847954120866795,12,41.61277885707536,61,0.9095271971828808,0.8792871357888971,43.0439074795625
24.0,27.0,2,38.020608590698274,18,40.88989617907494,133,0.9298289343702223,0.8792871357888971,43.24026480449547
24.0,27.0,3,33.73445861872384,42,40.7863509769611,211,0.8271016604986151,0.8792871357888971,38.36569107593876
24.0,27.0,4,31.654611765295975,40,38.83517155987605,209,0.8151016332318992,0.8792871357888971,36.00031261334835
24.0,27.0,5,34.90864691560373,14,35.035975070863195,203,0.996365788164824,0.8792871357888971,39.70107771937738
24.0,27.0,6,23.833468782983196,15,33.69500429388269,117,0.7073294478644762,0.8792871357888971,27.105444641356875
25.0,28.0,1,40.730517080031774,13,43.06952096505579,61,0.9456923635876575,0.8803006441821907,46.26887115125411
25.0,28.0,2,38.18869180827863,21,42.05360140001271,143,0.908095633594584,0.8803006441821907,43.381419814541154
25.0,28.0,3,35.27677197908806,40,42.41040056201843,207,0.8317953028409015,0.8803006441821907,40.073550112939635
25.0,28.0,4,33.16914653788264,42,39.739147713827904,214,0.8346718147239196,0.8803006441821907,37.67933916337998
25.0,28.0,5,34.76532646276863,13,36.29150056449061,195,0.9579467897997233,0.8803006441821907,39.492560516147314
25.0,28.0,6,25.82830730189456,15,34.42830826246598,110,0.7502055315931044,0.8803006441821907,29.34032534519994
26.0,29.0,1,42.048825553564576,11,45.18443813688743,60,0.9306041479629904,0.8813141525754843,47.71150608518465
26.0,29.0,2,38.86123592882686,22,43.471965204414445,149,0.8939378688332364,0.8813141525754843,44.094646404192865
26.0,29.0,3,36.56160113051764,45,43.80167050445229,210,0.8347079166033468,0.8813141525754843,41.485321691105085
26.0,29.0,4,35.58531786116294,38,41.00886790233167,219,0.8677468967422931,0.8813141525754843,40.377563161979374
26.0,29.0,5,34.46499073778418,16,37.118293026859625,192,0.928517664129774,0.8813141525754843,39.106362512239656
26.0,29.0,6,24.70000037072236,12,35.276856939912975,110,0.7001757671550456,0.8813141525754843,28.026328975361384
27.0,30.0,1,42.04935066321585,13,47.48716137676413,61,0.8854888235916109,0.8823276609687778,47.657296176169424
27.0,30.0,2,40.578055866129475,21,45.02280777629575,163,0.9012777716518513,0.8823276609687778,45.989780963656514
27.0,30.0,3,38.02045472671984,47,44.024574776620106,217,0.8636188973916259,0.8823276609687778,43.0910832886891
27.0,30.0,4,35.83434953939815,36,42.17120128615086,227,0.849735090452978,0.8823276609687778,40.61342642262032
27.0,30.0,5,35.99751698688572,13,38.50861913378202,190,0.9347911661497773,0.8823276609687778,40.79835482813854
27.0,30.0,6,25.984542532082447,12,35.92781998133617,101,0.7232429506043209,0.8823276609687778,29.449991971862186
28.0,31.0,1,43.832212782357644,14,47.895077722397254,67,0.9151715555492316,0.8833411693620714,49.62093277505933
28.0,31.0,2,41.42430523789593,24,46.62381594034052,161,0.8884795120781652,0.8833411693620714,46.89502388732952
28.0,31.0,3,38.98699674914878,51,45.44573513111263,218,0.8578802089276332,0.8833411693620714,44.13583120698913
28.0,31.0,4,37.231811666301525,32,43.73469986661909,228,0.8513105561453514,0.8833411693620714,42.148846852897705
28.0,31.0,5,36.04964228680868,14,39.89065027505909,179,0.9037115724670969,0.8833411693620714,40.81055376694703
28.0,31.0,6,26.36188099256826,11,36.91699714462427,96,0.7140851919589833,0.8833411693620714,29.843374119657756
29.0,32.0,1,46.06313184961935,15,48.991571844701966,68,0.9402256370878351,0.884354677755365,52.0867170245936
29.0,32.0,2,41.98298915106128,24,48.020717670413504,162,0.8742682572802909,0.884354677755365,47.4730220884011
29.0,32.0,3,40.47253790827165,51,46.66943915362243,228,0.8672171477151813,0.884354677755365,45.76505210669263
29.0,32.0,4,37.291500742719755,32,44.15536573901637,234,0.8445519614339511,0.884354677755365,42.16803696608651
29.0,32.0,5,36.451113938180306,12,41.01519283889066,177,0.888722237180787,0.884354677755365,41.21775443162592
29.0,32.0,6,26.55047876998284,8,38.52131485841092,84,0.6892412387160686,0.884354677755365,30.022432670760832
29.0,32.0,7,33.79825161614303,6,29.798264897197217,49,1.1342355581019767,0.884354677755365,38.21798252023549
30.0,34.0,1,48.288348288271685,16,52.13634597843482,75,0.9261935676935475,0.8863816945419523,54.47805227208041
30.0,34.0,2,42.68364654392731,29,50.68424514280461,175,0.8421482143744009,0.8863816945419523,48.15492784514753
30.0,34.0,3,42.08499978009462,50,49.040354308327366,239,0.8581707936997576,0.8863816945419523,47.47954525600003
30.0,34.0,4,38.09368870214211,32,45.93996002626247,240,0.829205961005737,0.8863816945419523,42.97661936918435
30.0,34.0,5,37.26943770459227,12,42.89349610990391,152,0.868883189402389,0.8863816945419523,42.046714112086526
30.0,34.0,6,28.328044985114506,9,38.449724270458674,79,0.7367554780328878,0.8863816945419523,31.959194509035232
31.0,35.0,1,49.778164240629295,16,54.207460629609834,78,0.9182899118030052,0.8873952029352459,56.09469611282275
31.0,35.0,2,43.65012308254059,29,51.55684071735919,180,0.8466407653222163,0.8873952029352459,49.1890455776171
31.0,35.0,3,43.89721376501585,46,50.22476536729425,241,0.8740153078664489,0.8873952029352459,49.46749049331865
31.0,35.0,4,39.253131500082425,32,47.23808251764136,238,0.8309636930208396,0.8873952029352459,44.23410377951611
31.0,35.0,5,39.33650893493903,13,43.901825985955305,152,0.8960107706573123,0.8873952029352459,44.32806127960268
31.0,35.0,6,28.4235528251102,10,38.639321300015595,74,0.7356121140020834,0.8873952029352459,32.03032057317116
32.0,36.0,1,51.64862783978322,17,55.58567455217447,79,0.9291715582457164,0.8884087113285395,58.13611143293169
32.0,36.0,2,45.52086418112163,27,53.16983449479492,188,0.8561407913650345,0.8884087113285395,51.238651310666526
32.0,36.0,3,44.585424390203436,47,51.34705595350523,244,0.8683151071129676,0.8884087113285395,50.185712748729955
32.0,36.0,4,40.7067030773977,30,48.151754438435155,234,0.8453835909435783,0.8884087113285395,45.81979280293672
32.0,36.0,5,40.37662966472273,12,44.09493275381454,145,0.9156750479731676,0.8884087113285395,45.44825951148422
32.0,36.0,6,28.929056268999403,10,39.44232750767002,73,0.7334520576498385,0.8884087113285395,32.56277870771716
33.0,37.0,1,53.033869461820785,17,56.60325129716634,84,0.9369403390521448,0.8894222197218331,59.62732691612667
33.0,37.0,2,48.1367348265815,31,54.44920180899953,200,0.8840668591513735,0.8894222197218331,54.12135401973235
33.0,37.0,3,44.5206826305464,47,52.55729723846341,244,0.8470885104412197,0.8894222197218331,50.055734659372746
33.0,37.0,4,43.024121730049906,31,49.54974928579079,240,0.8683015020297546,0.8894222197218331,48.37311321444803
33.0,37.0,5,37.78888147059757,12,44.67110225694482,146,0.8459357293947835,0.8894222197218331,42.48699957419104
33.0,37.0,6,30.339896968495815,10,40.66118295838972,64,0.7461636568602514,0.8894222197218331,34.11191703529131
34.0,38.0,1,56.27521309860699,17,57.598129262333714,88,0.9770319595328968,0.8904357281151267,63.199635101940814
34.0,38.0,2,49.96806356195798,32,55.57365908536331,199,0.8991321497331152,0.8904357281151267,56.116418045949615
34.0,38.0,3,45.92201178995208,51,54.02642577078601,249,0.8499916686101364,0.8904357281151267,51.572517072242526
34.0,38.0,4,44.26372833487854,26,49.86559847638869,226,0.8876606255079316,0.8904357281151267,49.71018899766741
34.0,38.0,5,37.43842327043242,15,45.986757917473795,140,0.8141131266008813,0.8904357281151267,42.04505961332216
34.0,38.0,6,31.05339722624644,7,40.99381400261775,59,0.7575142245672348,0.8904357281151267,34.87438368177368
35.0,39.0,1,57.317516101973496,18,58.30729927413423,86,0.9830247124376791,0.8914492365084203,64.29700509528912
35.0,39.0,2,51.25579287831884,33,56.50389747678093,210,0.9071196000131021,0.8914492365084203,57.497152702799696
35.0,39.0,3,46.56833981908221,48,55.09677316611985,249,0.8452099305103778,0.8914492365084203,52.238913795561196
35.0,39.0,4,45.10481732888787,26,51.09363700493412,229,0.8827873679169108,0.8914492365084203,50.59717982994966
