ord,totalInningWickets,inningBallsRemaining,predictedBallsFacedToCome,R19,inningNumber,fxbRunsAdjustRatio,fxbWktsAdjustRatio
2.0,0.0,1.0,4.533405582546985,1,1,1.0,1.0
2.0,0.0,1.0,4.533405582546985,1,2,1.0,1.0
2.0,0.0,1.0,4.533405582546985,2,1,1.0,1.0
2.0,0.0,1.0,4.533405582546985,2,2,1.0,1.0
2.0,0.0,1.0,4.533405582546985,3,1,1.0,1.0
2.0,0.0,1.0,4.533405582546985,3,2,1.0,1.0
2.0,0.0,1.0,4.533405582546985,4,1,1.0,1.0
2.0,0.0,1.0,4.533405582546985,4,2,1.0,1.0
2.0,0.0,1.0,4.533405582546985,5,1,1.0,1.0
2.0,0.0,1.0,4.533405582546985,5,2,1.0,1.0
2.0,0.0,1.0,4.533405582546985,6,1,1.0,1.0
2.0,0.0,1.0,4.533405582546985,6,2,1.0,1.0
2.0,0.0,1.0,4.533405582546985,7,1,1.0,1.0
2.0,0.0,1.0,4.533405582546985,7,2,1.0,1.0
2.0,0.0,1.0,4.533405582546985,8,1,1.0,1.0
2.0,0.0,1.0,4.533405582546985,8,2,1.0,1.0
2.0,0.0,1.0,4.533405582546985,9,1,1.0,1.0
2.0,0.0,1.0,4.533405582546985,9,2,1.0,1.0
2.0,0.0,1.0,4.533405582546985,10,1,1.0,1.0
2.0,0.0,1.0,4.533405582546985,10,2,1.0,1.0
2.0,1.0,1.0,2.161415981543522,0,1,1.0,1.0
2.0,1.0,1.0,2.161415981543522,0,2,1.0,1.0
2.0,1.0,1.0,2.161415981543522,1,1,1.0,1.0
2.0,1.0,1.0,2.161415981543522,1,2,1.0,1.0
2.0,1.0,1.0,2.161415981543522,2,1,1.0,1.0
2.0,1.0,1.0,2.161415981543522,2,2,1.0,1.0
2.0,1.0,1.0,2.161415981543522,3,1,1.0,1.0
2.0,1.0,1.0,2.161415981543522,3,2,1.0,1.0
2.0,1.0,1.0,2.161415981543522,4,1,1.0,1.0
2.0,1.0,1.0,2.161415981543522,4,2,1.0,1.0
2.0,1.0,1.0,2.161415981543522,5,1,1.0,1.0
2.0,1.0,1.0,2.161415981543522,5,2,1.0,1.0
2.0,1.0,1.0,2.161415981543522,6,1,1.0,1.0
2.0,1.0,1.0,2.161415981543522,6,2,1.0,1.0
2.0,1.0,1.0,2.161415981543522,7,1,1.0,1.0
2.0,1.0,1.0,2.161415981543522,7,2,1.0,1.0
2.0,1.0,1.0,2.161415981543522,8,1,1.0,1.0
2.0,1.0,1.0,2.161415981543522,8,2,1.0,1.0
2.0,1.0,1.0,2.161415981543522,9,1,1.0,1.0
2.0,1.0,1.0,2.161415981543522,9,2,1.0,1.0
2.0,1.0,1.0,2.161415981543522,10,1,1.0,1.0
2.0,1.0,1.0,2.161415981543522,10,2,1.0,1.0
2.0,2.0,1.0,1.3703432065517447,0,1,1.0,1.0
2.0,2.0,1.0,1.3703432065517447,0,2,1.0,1.0
2.0,2.0,1.0,1.3703432065517447,1,1,1.0,1.0
